feature_name,importance,feature_family
cat__PULocationID_128,0.00015983968,PULocationID
cat__PULocationID_154,0.00014836004,PULocationID
cat__DOLocationID_115,0.00011128294,DOLocationID
cat__PULocationID_102,5.9036538e-05,PULocationID
cat__DOLocationID_184,5.111158e-05,DOLocationID
cat__DOLocationID_190,2.65555e-05,DOLocationID
cat__DOLocationID_120,6.2440718e-06,DOLocationID
cat__PULocationID_15,2.454761e-06,PULocationID
cat__DOLocationID_251,0.0,DOLocationID
cat__DOLocationID_245,0.0,DOLocationID
cat__DOLocationID_253,0.0,DOLocationID
cat__PULocationID_1,0.0,PULocationID
cat__DOLocationID_221,0.0,DOLocationID
cat__PULocationID_64,0.0,PULocationID
cat__PULocationID_221,0.0,PULocationID
cat__PULocationID_193,0.0,PULocationID
cat__PULocationID_187,0.0,PULocationID
cat__PULocationID_184,0.0,PULocationID
cat__PULocationID_173,0.0,PULocationID
cat__PULocationID_96,0.0,PULocationID
cat__PULocationID_73,0.0,PULocationID
cat__PULocationID_59,0.0,PULocationID
cat__DOLocationID_214,0.0,DOLocationID
cat__PULocationID_57,0.0,PULocationID
cat__PULocationID_46,0.0,PULocationID
cat__PULocationID_31,0.0,PULocationID
cat__PULocationID_27,0.0,PULocationID
cat__PULocationID_16,0.0,PULocationID
cat__PULocationID_8,0.0,PULocationID
cat__PULocationID_6,0.0,PULocationID
cat__PULocationID_240,0.0,PULocationID
cat__DOLocationID_8,0.0,DOLocationID
cat__DOLocationID_12,0.0,DOLocationID
cat__DOLocationID_30,0.0,DOLocationID
cat__DOLocationID_207,0.0,DOLocationID
cat__DOLocationID_204,0.0,DOLocationID
cat__DOLocationID_187,0.0,DOLocationID
cat__DOLocationID_176,0.0,DOLocationID
cat__DOLocationID_156,0.0,DOLocationID
cat__DOLocationID_153,0.0,DOLocationID
cat__DOLocationID_118,0.0,DOLocationID
cat__DOLocationID_99,0.0,DOLocationID
cat__DOLocationID_96,0.0,DOLocationID
cat__DOLocationID_84,0.0,DOLocationID
cat__DOLocationID_73,0.0,DOLocationID
cat__DOLocationID_58,0.0,DOLocationID
cat__DOLocationID_57,0.0,DOLocationID
cat__DOLocationID_46,0.0,DOLocationID
cat__DOLocationID_44,0.0,DOLocationID
num__pickup_month,0.0,pickup_month
